trim_status,Sample,Number of input reads,Uniquely mapped reads,uniquely mapped reads %,Multi-mapping reads,Multi-mapping reads %,Unmapped reads,Unmapped reads %,,
untrimmed,SRR23914450,23569936,16057350,68.13%,681381,2.89%,6831205,28.98%,,read lengths = 300
untrimmed,SRR23914451,19271157,12917730,67.03%,613320,3.18%,5740107,29.79%,,
untrimmed,SRR23914452,16308393,10007655,61.37%,526492,3.23%,5774246,35.41%,,
untrimmed,SRR23914453,15415235,9844987,63.87%,453904,2.94%,5116344,33.19%,,
untrimmed,SRR23914454,24547153,17196537,70.06%,796854,3.25%,6553762,26.70%,,
untrimmed,SRR23914455,30225868,20247727,66.99%,1017934,3.37%,8960207,29.64%,,
untrimmed,SRR23914571,16979766,11464373,67.52%,554145,3.26%,4961248,29.22%,,
untrimmed,SRR23914572,14995607,10217372,68.14%,506029,3.37%,4272206,28.49%,,
untrimmed,SRR23914573,13935648,9445650,67.78%,462279,3.32%,4027719,28.90%,,
untrimmed,SRR23914574,24789327,17299626,69.79%,872967,3.52%,6616734,26.69%,,
untrimmed,SRR23914575,28526897,19491316,68.33%,1015839,3.56%,8019742,28.11%,,
untrimmed,SRR23914576,14468906,10001660,69.13%,514650,3.56%,3952596,27.32%,,
untrimmed,SRR23914577,29093962,19063680,65.52%,1016492,3.49%,9013790,30.98%,,
untrimmed,SRR23914578,11952262,7284890,60.95%,375158,3.14%,4292214,35.91%,,
untrimmed,SRR23914579,15996766,11538681,72.13%,518878,3.24%,3939207,24.63%,,
trimmed,SRR23914450,21817480,19377709,88.82%,978640,4.49%,1461131,6.70%,,read lengths = 260-275
trimmed,SRR23914451,17627503,15591157,88.45%,885072,5.02%,1151274,6.53%,,
trimmed,SRR23914452,14909483,12880427,86.39%,837029,5.61%,1192027,8.00%,,
trimmed,SRR23914453,14169983,12497874,88.20%,721629,5.09%,950480,6.71%,,
trimmed,SRR23914454,22036109,19320548,87.68%,1038101,4.71%,1677460,7.61%,,
trimmed,SRR23914455,27346210,23959009,87.61%,1396929,5.11%,1990272,7.28%,,
trimmed,SRR23914571,15688750,13750959,87.65%,780783,4.98%,1157008,7.37%,,
trimmed,SRR23914572,13779386,12054737,87.48%,701786,5.09%,1022863,7.42%,,
trimmed,SRR23914573,12760561,11181103,87.62%,643764,5.04%,935694,7.33%,,
trimmed,SRR23914574,22597657,19905041,88.08%,1164240,5.15%,1528376,6.76%,,
trimmed,SRR23914575,25576212,22245484,86.98%,1347328,5.27%,1983400,7.75%,,
trimmed,SRR23914576,13162468,11427650,86.82%,684442,5.20%,1050376,7.98%,,
trimmed,SRR23914577,26128540,22455926,85.94%,1424391,5.45%,2248223,8.60%,,
trimmed,SRR23914578,10957387,9480490,86.52%,623252,5.69%,853645,7.79%,,
trimmed,SRR23914579,14616794,12910172,88.32%,666489,4.56%,1040133,7.12%,,